game_id,tool,repairs,mission_failures_damaged
ba33b784ffaf680e,VESSEL,0,0
771c57fee72159b0,KNIFE,0,0
771c57fee72159b0,VESSEL,1,0
f11c11ad4ebe5e6a,KNIFE,0,0
f11c11ad4ebe5e6a,VESSEL,0,0
689b450612f07225,KNIFE,1,0
689b450612f07225,VESSEL,0,0
771889e0de20a322,KNIFE,2,0
771889e0de20a322,VESSEL,0,0
9794d1c064f93ebe,KNIFE,0,0
9794d1c064f93ebe,VESSEL,1,0
5916ddec341a926e,KNIFE,0,0
5916ddec341a926e,VESSEL,0,0
34cf9bc1a9936c98,KNIFE,0,0
34cf9bc1a9936c98,VESSEL,0,0
341182d00009e9d0,KNIFE,1,0
341182d00009e9d0,VESSEL,1,0
40199e4ed53651ac,KNIFE,0,0
40199e4ed53651ac,VESSEL,0,0
b4362ab59f6d762a,KNIFE,0,0
b4362ab59f6d762a,VESSEL,0,0
9ca8116d4e944e73,KNIFE,0,0
9ca8116d4e944e73,VESSEL,0,0
2109792d5e746345,KNIFE,2,2
2109792d5e746345,VESSEL,0,0
504bdd2002794752,KNIFE,0,0
504bdd2002794752,VESSEL,0,0
2dd7008cad4327d3,KNIFE,0,0
2dd7008cad4327d3,VESSEL,0,0
bffb53b07584f0be,KNIFE,0,0
bffb53b07584f0be,VESSEL,0,0
06db7662c7ea2cc9,KNIFE,1,2
06db7662c7ea2cc9,VESSEL,0,0
9cf81c1e772568bf,KNIFE,0,0
9cf81c1e772568bf,VESSEL,1,0
2741fdcb8debe08f,KNIFE,0,0
2741fdcb8debe08f,VESSEL,0,0
17d626bb216ffb36,KNIFE,0,0
17d626bb216ffb36,VESSEL,2,0
e63d520539745d33,KNIFE,2,0
e63d520539745d33,VESSEL,0,0
f9883861a590e831,KNIFE,1,0
f9883861a590e831,VESSEL,0,0
44130a20148381ba,KNIFE,1,1
44130a20148381ba,VESSEL,0,0
46cde90be0f3a062,KNIFE,1,1
46cde90be0f3a062,VESSEL,0,0
72e5920c5e142e83,KNIFE,1,0
72e5920c5e142e83,VESSEL,0,0
914f75905ed1d9c2,KNIFE,1,0
